(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.6, -449.3, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.3, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-40.9, -454.5, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-40.9, -454.5, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.6, -449.3, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.6, -449.2, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.3, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.3, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-40.9, -454.5, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.6, -449.3, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.6, -449.3, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-40.9, -454.5, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-40.9, -454.5, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.6, -449.2, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.5, -449.2, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-40.9, -454.5, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.6, -449.2, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.6, -449.2, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.3, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-40.9, -454.5, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-40.9, -454.5, -109.7)
(-42.8, -449.6, -109.6)
(-41.9, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.5, -449.2, -110.0)
(-42.0, -452.4, -109.7)
(-42.8, -449.6, -109.6)
(-42.6, -449.2, -110.0)
