(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-43.9, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.7, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-43.9, -451.1, -108.4)
(-43.9, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-43.9, -451.1, -108.4)
(-43.9, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-43.9, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.7, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.9, -450.7, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.9, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-43.9, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.1, -108.6)
(-43.9, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.7, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.7, -109.0)
(-43.9, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-43.9, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-44.0, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-44.0, -451.1, -108.4)
(-43.0, -453.0, -108.5)
(-43.6, -450.0, -108.6)
(-43.9, -451.1, -108.4)
(-43.6, -450.1, -108.6)
(-42.8, -450.6, -109.0)
(-44.0, -451.1, -108.5)
(-43.6, -450.1, -108.6)
(-42.8, -450.7, -109.0)
