(-43.3, -450.4, -109.4)
(-43.4, -450.4, -109.4)
(-43.9, -450.6, -109.8)
(-43.4, -450.4, -109.5)
(-43.4, -450.4, -109.5)
(-44.2, -450.6, -109.9)
(-43.1, -450.3, -109.3)
(-43.4, -450.5, -109.5)
(-43.8, -450.6, -109.7)
(-43.3, -450.4, -109.4)
(-43.7, -450.5, -109.7)
(-43.7, -450.6, -109.7)
(-43.5, -450.4, -109.6)
(-43.9, -450.5, -109.7)
(-43.5, -450.5, -109.5)
(-43.3, -450.4, -109.4)
(-43.7, -450.6, -109.7)
(-43.6, -450.5, -109.6)
(-43.3, -450.4, -109.4)
(-44.0, -450.7, -109.9)
(-43.6, -450.5, -109.6)
(-43.3, -450.4, -109.4)
(-43.9, -450.6, -109.7)
(-43.5, -450.4, -109.5)
(-43.2, -450.4, -109.4)
(-44.1, -450.6, -109.9)
(-43.2, -450.4, -109.4)
(-43.5, -450.5, -109.6)
(-43.7, -450.6, -109.7)
(-43.3, -450.4, -109.4)
(-43.9, -450.5, -109.7)
(-43.7, -450.6, -109.7)
(-43.6, -450.5, -109.6)
(-43.8, -450.6, -109.7)
(-43.7, -450.6, -109.6)
(-43.4, -450.4, -109.4)
(-43.8, -450.6, -109.7)
(-43.6, -450.5, -109.6)
(-43.7, -450.5, -109.7)
(-44.0, -450.7, -109.8)
(-43.6, -450.5, -109.6)
(-43.4, -450.4, -109.4)
(-43.8, -450.6, -109.7)
(-43.4, -450.4, -109.5)
(-43.5, -450.5, -109.6)
(-43.7, -450.5, -109.6)
(-43.5, -450.5, -109.6)
(-43.6, -450.5, -109.7)
(-43.6, -450.5, -109.6)
(-43.6, -450.5, -109.6)
(-43.8, -450.5, -109.7)
(-43.6, -450.5, -109.6)
(-43.5, -450.4, -109.5)
(-43.8, -450.6, -109.7)
(-43.5, -450.5, -109.5)
(-43.5, -450.5, -109.6)
(-43.8, -450.6, -109.7)
(-43.4, -450.4, -109.4)
(-43.6, -450.5, -109.6)
(-43.9, -450.6, -109.7)
(-43.3, -450.3, -109.4)
(-43.3, -450.4, -109.4)
(-43.8, -450.6, -109.7)
(-43.0, -450.3, -109.2)
(-43.6, -450.5, -109.6)
(-43.6, -450.6, -109.6)
(-43.2, -450.4, -109.4)
(-43.8, -450.5, -109.7)
(-43.4, -450.4, -109.4)
(-43.5, -450.4, -109.5)
(-43.8, -450.6, -109.7)
(-43.5, -450.5, -109.5)
(-43.5, -450.4, -109.5)
(-43.8, -450.6, -109.7)
(-43.3, -450.4, -109.4)
(-43.4, -450.4, -109.5)
(-43.9, -450.6, -109.8)
(-43.3, -450.4, -109.4)
(-43.3, -450.4, -109.4)
(-44.2, -450.6, -109.9)
(-43.3, -450.4, -109.4)
(-43.2, -450.4, -109.5)
(-44.0, -450.7, -109.8)
(-43.2, -450.3, -109.4)
(-43.7, -450.5, -109.7)
(-43.6, -450.6, -109.7)
(-43.5, -450.4, -109.5)
(-43.9, -450.5, -109.7)
(-43.7, -450.6, -109.7)
(-43.2, -450.3, -109.3)
(-43.8, -450.6, -109.7)
(-43.6, -450.5, -109.6)
(-43.3, -450.4, -109.4)
(-43.9, -450.7, -109.8)
(-43.5, -450.4, -109.5)
(-43.2, -450.3, -109.3)
(-43.8, -450.6, -109.7)
(-43.4, -450.4, -109.5)
(-43.3, -450.4, -109.4)
(-44.0, -450.6, -109.8)
(-43.3, -450.4, -109.4)
(-43.4, -450.5, -109.6)
(-44.0, -450.7, -109.9)
(-43.3, -450.4, -109.4)
(-43.9, -450.5, -109.7)
(-43.8, -450.7, -109.7)
(-43.6, -450.5, -109.6)
(-43.9, -450.6, -109.8)
(-43.6, -450.6, -109.6)
(-43.5, -450.5, -109.5)
(-43.8, -450.6, -109.7)
(-43.5, -450.4, -109.5)
(-43.7, -450.5, -109.7)
(-43.9, -450.7, -109.8)
(-43.3, -450.4, -109.4)
(-43.4, -450.4, -109.5)
(-44.0, -450.7, -109.8)
(-43.4, -450.4, -109.5)
(-43.4, -450.5, -109.6)
(-43.8, -450.6, -109.7)
(-43.6, -450.5, -109.6)
(-43.6, -450.5, -109.7)
(-43.6, -450.6, -109.6)
(-43.6, -450.5, -109.6)
(-43.8, -450.5, -109.7)
(-43.6, -450.5, -109.6)
(-43.5, -450.4, -109.6)
(-43.8, -450.6, -109.7)
(-43.8, -450.6, -109.7)
(-43.6, -450.5, -109.6)
(-43.9, -450.7, -109.8)
(-43.2, -450.4, -109.4)
(-43.5, -450.5, -109.5)
(-43.8, -450.6, -109.7)
(-43.3, -450.4, -109.4)
(-43.6, -450.5, -109.6)
(-43.8, -450.6, -109.7)
(-43.4, -450.4, -109.5)
(-43.5, -450.5, -109.6)
(-43.6, -450.5, -109.6)
(-43.3, -450.4, -109.4)
(-43.7, -450.6, -109.7)
(-43.5, -450.5, -109.5)
(-43.4, -450.4, -109.5)
(-43.9, -450.6, -109.8)
(-43.3, -450.4, -109.4)
(-43.2, -450.4, -109.4)
(-43.8, -450.6, -109.7)
(-43.4, -450.4, -109.5)
(-43.3, -450.4, -109.4)
(-44.0, -450.7, -109.9)
(-43.2, -450.3, -109.3)
(-43.4, -450.4, -109.5)
(-43.9, -450.6, -109.8)
(-43.2, -450.3, -109.3)
(-43.7, -450.5, -109.6)
(-43.9, -450.6, -109.8)
(-43.3, -450.3, -109.4)
(-43.7, -450.5, -109.7)
(-43.8, -450.6, -109.7)
(-43.2, -450.3, -109.4)
(-43.7, -450.5, -109.7)
(-43.6, -450.5, -109.6)
(-43.2, -450.3, -109.3)
(-43.9, -450.6, -109.8)
(-43.5, -450.5, -109.6)
(-43.3, -450.4, -109.4)
(-43.8, -450.6, -109.8)
(-43.5, -450.4, -109.5)
(-43.4, -450.4, -109.4)
(-44.2, -450.7, -109.9)
(-43.4, -450.4, -109.5)
(-43.4, -450.4, -109.5)
(-43.7, -450.6, -109.7)
(-43.4, -450.4, -109.5)
(-43.4, -450.5, -109.6)
(-43.9, -450.6, -109.8)
(-43.7, -450.5, -109.7)
(-43.9, -450.5, -109.7)
(-43.8, -450.7, -109.7)
(-43.6, -450.5, -109.6)
(-43.8, -450.6, -109.7)
(-43.6, -450.6, -109.6)
(-43.5, -450.4, -109.5)
(-43.9, -450.7, -109.8)
(-43.6, -450.5, -109.6)
(-43.4, -450.4, -109.4)
(-43.8, -450.6, -109.7)
(-43.4, -450.4, -109.5)
(-43.5, -450.5, -109.5)
(-43.9, -450.6, -109.8)
(-43.8, -450.6, -109.7)
(-43.5, -450.5, -109.6)
(-43.9, -450.6, -109.8)
(-43.4, -450.4, -109.5)
(-43.6, -450.5, -109.6)
(-43.6, -450.6, -109.7)
(-43.4, -450.4, -109.5)
(-43.8, -450.6, -109.7)
(-43.6, -450.5, -109.6)
(-43.4, -450.4, -109.5)
(-43.7, -450.6, -109.7)
(-43.5, -450.5, -109.5)
(-43.4, -450.4, -109.5)
(-43.8, -450.7, -109.7)
(-43.3, -450.4, -109.4)
(-43.7, -450.5, -109.7)
(-43.8, -450.6, -109.7)
(-43.1, -450.3, -109.3)
(-43.5, -450.5, -109.6)
(-43.7, -450.6, -109.6)
(-43.4, -450.4, -109.5)
(-43.5, -450.5, -109.6)
(-43.9, -450.6, -109.7)
(-43.0, -450.2, -109.2)
(-43.8, -450.6, -109.7)
(-43.5, -450.5, -109.6)
(-43.5, -450.4, -109.5)
(-43.9, -450.6, -109.7)
(-43.5, -450.5, -109.5)
(-43.5, -450.4, -109.5)
(-43.9, -450.6, -109.8)
(-43.2, -450.3, -109.3)
(-43.4, -450.4, -109.4)
(-43.9, -450.6, -109.8)
(-43.2, -450.3, -109.3)
(-43.4, -450.4, -109.5)
(-44.3, -450.6, -110.0)
(-43.1, -450.3, -109.3)
(-43.5, -450.5, -109.6)
(-43.7, -450.6, -109.6)
(-43.3, -450.4, -109.4)
(-43.7, -450.5, -109.7)
(-43.7, -450.6, -109.7)
(-43.2, -450.3, -109.3)
(-43.8, -450.5, -109.7)
(-43.6, -450.5, -109.6)
(-43.4, -450.4, -109.5)
(-43.8, -450.6, -109.7)
(-43.6, -450.5, -109.6)
(-43.2, -450.3, -109.4)
(-44.0, -450.7, -109.9)
(-43.5, -450.4, -109.5)
(-43.3, -450.4, -109.4)
(-44.0, -450.6, -109.9)
(-43.5, -450.4, -109.6)
(-43.1, -450.3, -109.3)
(-44.4, -450.7, -110.0)
(-43.4, -450.4, -109.5)
(-43.5, -450.5, -109.7)
